t_ms,I_nA,u_mWmm2
103.60000000000001,1.9559486045304024,20
103.7,1.9553976639977233,20
103.8,1.9548484429070605,20
103.9,1.9543009358109464,20
104.0,1.9537551372796849,20
104.1,1.9532110419012925,20
104.2,1.9526686442814385,20
104.3,1.9521279390433819,20
104.4,1.9515889208279122,20
104.50000000000001,1.95105158429329,20
104.6,1.9505159241151837,20
104.7,1.9499819349866128,20
104.8,1.949449611617888,20
104.9,1.9489189487365501,20
105.00000000000001,1.9483899410873113,20
105.1,1.9478625834319978,20
105.2,1.9473368705494893,20
105.3,1.9468127972356615,20
105.4,1.9462903583033273,20
105.50000000000001,1.945769548582179,20
105.6,1.9452503629187303,20
105.7,1.9447327961762582,20
105.8,1.9442168432347477,20
105.9,1.9437024989908307,20
106.00000000000001,1.9431897583577329,20
106.1,1.9426786162652143,20
106.2,1.9421690676595154,20
106.3,1.9416611075032975,20
106.4,1.9411547307755883,20
106.50000000000001,1.940649932471727,20
106.6,1.9401467076033063,20
106.7,1.9396450511981185,20
106.8,1.9391449583000997,20
106.9,1.938646423969274,20
107.00000000000001,1.9381494432817004,20
107.1,1.937654011329416,20
107.2,1.9371601232203828,20
107.3,1.9366677740784328,20
107.4,1.9361769590432145,20
107.5,1.9356876732701378,20
107.6,1.9351999119303225,20
107.7,1.9347136702105423,20
107.80000000000001,1.9342289433131734,20
107.9,1.933745726456139,20
108.0,1.9332640148728595,20
108.1,1.9327838038121987,20
108.2,1.9323050885384088,20
108.30000000000001,1.9318278643310822,20
108.4,1.9313521264850961,20
108.5,1.930877870310562,20
108.6,1.9304050911327746,20
108.7,1.9299337842921578,20
108.80000000000001,1.9294639451442157,20
108.9,1.9289955690594804,20
109.0,1.9285286514234616,20
109.1,1.9280631876365943,20
109.2,1.9275991731141915,20
109.30000000000001,1.9271366032863881,20
109.4,1.9266754735980975,20
109.5,1.9262157795089563,20
109.6,1.9257575164932759,20
109.7,1.925300680039995,20
109.80000000000001,1.9248452656526263,20
109.9,1.92439126884921,20
110.0,1.9239386851622635,20
110.1,1.9234875101387328,20
110.2,1.9230377393399436,20
110.30000000000001,1.9225893683415531,20
110.4,1.9221423927335,20
110.5,1.921696808119958,20
110.60000000000001,1.9212526101192873,20
110.7,1.9208097943639861,20
110.80000000000001,1.9203683565006435,20
110.89999999999999,1.9199282921898924,20
111.0,1.919489597106359,20
111.10000000000001,1.9190522669386205,20
111.2,1.9186162973891543,20
111.30000000000001,1.9181816841742925,20
111.39999999999999,1.917748423024176,20
111.5,1.9173165096827058,20
111.60000000000001,1.916885939907498,20
111.7,1.9164567094698381,20
111.80000000000001,1.916028814154634,20
111.89999999999999,1.9156022497603709,20
112.0,1.9151770120990643,20
112.10000000000001,1.9147530969962168,20
112.2,1.91433050029077,20
112.30000000000001,1.913909217835061,20
112.39999999999999,1.9134892454947776,20
112.5,1.913070579148912,20
112.60000000000001,1.9126532146897177,20
112.7,1.9122371480226648,20
112.80000000000001,1.9118223750663914,20
112.89999999999999,1.9114088917526681,20
113.0,1.9109966940263454,20
113.10000000000001,1.910585777845314,20
113.2,1.910176139180461,20
113.30000000000001,1.9097677740156243,20
113.39999999999999,1.9093606783475514,20
113.5,1.9089548481858551,20
113.60000000000001,1.9085502795529703,20
113.7,1.908146968484112,20
113.80000000000001,1.907744911027229,20
113.9,1.9073441032429683,20
114.0,1.9069445412046238,20
114.10000000000001,1.9065462209981017,20
114.2,1.906149138721873,20
114.3,1.905753290486935,20
114.4,1.9053586724167666,20
114.5,1.904965280647288,20
114.60000000000001,1.90457311132682,20
114.7,1.9041821606160405,20
114.8,1.9037924246879443,20
114.9,1.9034038997278027,20
115.0,1.9030165819331197,20
115.10000000000001,1.902630467513596,20
115.2,1.9022455526910835,20
115.3,1.901861833699547,20
115.4,1.9014793067850235,20
115.5,1.9010979682055815,20
